"","uid","cluster","size","begin","end","category","contributor","date","id","issue","lang","series","text","heading","url","altSource","corpus","ed","seq","firstPageId","title"
"167705",-6172977417352903680,321785,177,279431,289262,"null","null","1856-08-21","sn83045462/1856-08-21/ed-1/seq-1","sn83045462/1856-08-21/ed-1","null","sn83045462","LV Sold ? During the month of
January. 1S50, twogentlemenfrom New York,
one of whom had been in California nearly a
year, and the other just arrived, were acci­
dently overheard in the following conversa­
tion at the Sutter House. Sacramento. The
new comer was lamenting hia condition, and
his folly in leaving an abundance at home,
and especially two beautiful daughtera. who
were just budding into womanb<iod?when ha
asked the other if he had a family.
"" Yes. sir; 1 have a wile and aix children
in New York?and I never saw one of tnem ""
After this reply the couple aat a few mo­
ments in aileuoe, and then the istem>gat >r
again commenced :
"" Were you ever blind, sir?""
""No, air ""
44 Did you marry a widow, sir ?""
"" No, air ""
Another lapse of ailence.
"" Did I understand you to aay, air, that
you bad a wife and aix children living in New
York, and had never seen one of them*""
41 Yes, sir?I ao stated it.""
Another and a longer panae of ai'.eii-e.
Then the interrogator again inquired :
44 How can it be, air. that you never saw
one of them V'
44 Why,"" was the response, uone of tkr>n
was born after I left ""
44 Oh '. ah !"" and a general laugh foil ?wed
After that the 6rat New Yorker we* espe­
cially distinguished as *' the man who has s.x
children and never saw one of thea ""
Contempt or Court ?In","null","http://chroniclingamerica.loc.gov/lccn/sn83045462/1856-08-21/ed-1/seq-1/print/image_600x600_from_6963%2C8197_to_8328%2C10456/","null","ca","1","1","null","Evening Star"
"167706",8360533908562100224,321785,177,101,8667,"News","null","1856-08-25","5DWR-1856-AUG25-002-030","5DWR-1856-AUG25","null","82015185","Regularly Sold Out.





During the month of January, 1850, whtle
stopping at the Sutler House, in Sacramento
City, California, I accidently overheard a con­
versstion between two gentlemen, one of whom
was from New York City, and had been in the
country nearly a year, and the other had just
arrived.
The new comer was lamenting his condition,
andi hi folly in leaving on abundnnea at home
and especially two beautiful daughters, who
were just budding into womanhood-when he
asked the New Yorker if he had a family,.
'""Yt.r ir, I hav. n wio aond sio ahlJolun l1
New York-and I never saw one of them.""
After this reply the couple sat a few moments
in silence; then the interrogator again com­
Itenced :
''Was you ever blind, sir !'
""No, sir.""
'""Itd you marry a widow, sir ?""
,""No sir.""
Another lapse of silence,.
'""Did I undersanud you to any. sir, that you
had a wife and children in New York and had
never seen one of them ?""
""'Yes, si--I so atate:l it.""
Another and longer paueo of silence. Then
the interrogaror ogain inquired:
,low con it be, that you never saow one of
them ?""
',Why,"" was the response, ""one of then, was
born alter I left.""
""Oh ! oh !"" and a general laugh followed
and ntter the: the New Yorker was especially
distinguished as the man who ""had six chil­
d dren and never saw one of them","Regularly Sold out","null","null","gale-us","null","null","null","Bangor Daily Whig and Courier (Bangor, ME)"
"167707",1191344727855604736,321785,177,79287,84051,"News","null","1856-08-26","5GCE-1856-AUG26-002-001","5GCE-1856-AUG26","null","82015886","never blind. sir ""
tlendous *No.. tr.""
nowrce­ 1 i ""Did .ol iTr a i dow,. sir
ssed {""vNo. or.'
Aaed Another lnpse of silence,
)ialed d I ulrderstand you to nay, sir, tiht
as prob-I voo had a twife nd six children living to
eovered I New s'ork, and had never seen one ,f.
. thno.'
I ""Yes, sir--I no tated it.""
ille have Another and longer pause of silence.­
quaran"". Then the ainterrogator aain inquired:
tea'ter ""How can it hfu, sir, that you never saw
af ellow Why,' was the response, ""one of trhen
arleston. was lorn after I leftl'.'
'""Oh .al ""' nd a general laugh followed;
addition­ and atter that the New Yorker was esao­
d Monti­ eially distinauished as the man who had,
roek, ma. ""haa six chltdren and never saw one of","&#8230; Europe","null","Ohio Statesman","gale-us","null","null","null","Daily News and Herald (Savannah, GA)"
"167708",7510157267636909056,321785,177,426,9152,"News","null","1856-08-27","5FHB-1856-AUG27-003-015","5FHB-1856-AUG27","null","85042119","January, 1850. whilh
stop'pii. at the S. ter1 l us. in fi'rahnt:., Ciry;.
('altir
, ti tu.:
c ,tlv
, verhbard a cunvelrsa­
tion Iet wt'iu tW gec t.lenil, oin, ,if whom was
fro'li New
"" .rk 'i
I,
a d
h id bee)i ini thet catin­
try nea!ly a and thel thlr had. just arrivId.
The iew etier. wis lanienutig fhis cuditien,
and his folly in leaving aln abuudance at home.
and especially two beautiful daughters, who were
just budding into wonanlhood--when he asked
the New Yorker if lie had a family.
"" Yoe-, sir; I have a wife and six children in
New York-and never saw one of them.""
After this reply, the couple sat a few moments
in silence; then the interrogator again commeni­
cod:
"" Were you ever blind, sir?""
""No, sir.""
""Did you marry a widow, sir?""
""No. sir.""
Another lapse of silence.
"" Did I understand you to say, sir, that you
had a wife and six children living in New York,
and had never seen one of them ?""
"" Yes, sir-I so stated it.""
Another and longer pause of silence. Then
the interrogator inquired:
"" How can it be, sir, that you never saw one
of them ?""
"" Why,"" was the response, ""one of them was
born after I loft.""
"" Oh I ah !"" and a general laugh followed ; and
after that the New Yorker was especially distin­
guished as the man who had "" had six children
and never saw one of them","Regularly Sold out","null","null","gale-us","null","null","null","85042119"
"167709",6547065473197746176,321785,177,24485,34955,"null","null","1856-09-04","sn87076863/1856-09-04/ed-1/seq-3","sn87076863/1856-09-04/ed-1","null","sn87076863","the inmates have left.
- Regularly Sold Out.
f During the month of January, 1850,
while stopping at the Sutter House, in
Sacramento City, California, I acciden­
tally overheard a conversation between
two gentlemen, one of whom was from
New.York City, and had been in the coun­
try nearly a year, and the other had just
arrivea. (
The new comer was lamenting his con
dition, and his folly In leaving an abun
dance at home, and especially two beau-
ful daughters, who were just budding in
to womanhood when he asked the New
Yorker if he had a family.
"" Yes, sir ; I have a wife and six chil­
dren in New York, and I never saw one
of ihm.""
Alar this reply, the couple sat a few
moments' in 'silence; then the interroga­
tor again commenced :
"" Was you ever blind, sir ? ""
. ""No, sir.""
Did you marry a widow, sir ? ""
"" No, sir."" . .
Another lapse of silence.
"" Did I understand Vou tn enr Kir
that you had a wife and six children in
New York, and had never seen one of
'them ? '
"".V Yes, sirI so staled it.""
1 Another and longer pause of silence.
.Then the interrogator again inquired : .
! IT. m. ... It. i. - .
, "" tn"" oe, eir, that you never
saw one of them ""
""Why,"" ""was the response, "" oj of
them was born after 1 left.""-
""Oh ! ah !"" and a general laugh fol­
lowed ; and after that the New Yorker
was especially distinguished as the man
who had "" six children and
uae of theiu'
never saw","null","http://chroniclingamerica.loc.gov/lccn/sn87076863/1856-09-04/ed-1/seq-3/print/image_600x600_from_634%2C8670_to_1840%2C12056/","null","ca","1","3","null","The Wyandot pioneer. (Upper Sandusky, Ohio) 1853-1868"
"167710",2234249786199058688,321785,177,129,1725,"Article","null","1856-09-13","aps/126492803","aps/24752/1856-09-13","eng","aps/24752","EOIUL.ARLY SOLD.--Two gentlemen fron New York, one of whom had been in California nearly a year, and the other just ayrived, were accidentally *sverbeard in the following conversation at the Butter Ilouse, Sacramento. The new comer was lamenting his condition, and his folly ir leaving an abundance at home, and especially two beautiful daughters who were just budding into womanhood -when he asked the other if he had a tamily.
                 c Yes, air, I have. I have a wife and six chil- dren in New York-and I never saw one of them.""
                 After this the couple sat a few moments in si- lence, and then the interrogator again commenced:
                 ""tWere you ever blind, airl"" '' No, sir.'""
                 cg Did you marry a widow, jirl"" di No, sirj ""
                 Another lapse of silence.
                 "" Did I understand you to say, sir, that you had a wife and six children living in New York, and bad never seen one of them t""
                 if Yes, sir-I so stated it.""
                 Another and a longer pause of silence. Then the interrogator again inquired:
                 * llow can it be, sir, that you never saw one of them 1""
                 *s Why,"" was the response, "" one of them was born after I left.""
                 e Ot! ath !"" and a general laugh followed.
                 After that the first New Yorker was especially diatioguished as 4""The man who has six children and never saw one of them.""
                 INTERPOLATsNIG AN OATis","Article 27 -- No Title","http://search.proquest.com/docview/126492803/fulltext/","null","aps","null","null","null","Saturday Evening Post (1839-1885)"
"167711",8452541577807523840,321785,177,42341,50818,"null","null","1856-09-18","sn87075163/1856-09-18/ed-1/seq-4","sn87075163/1856-09-18/ed-1","null","sn87075163","Some lime since, while stopping at tne
Sutter House, in Sacramento City, Ahlorn5
ia,l actiilentlly overheanl conversation be­
tween twogentleinen,oiwofwhora' was from
!W YnrV?-itv. and bad been in the country
j, kn I incl mt-
nearly a vear, ana u.e ouier -
Tlie new comer was lamenting
lion and hisfotly
homcani especiilly two beautiful daughtert,
. r . .11:.... :..i.. uniTian liiirwl
xvhowerejusi ouuu ' ."".-""r ,
when he ackedUie New orlter if he had a
U"" Yes,sir,l have a wife and six childre.
in New York and I uew Saw one of
llietn '
After thif reply, the couple sat a few mo-
meuts in silence; then the mterroguiei again
commenced: ' ...,.
,'-W'ad vou ever blind, sin
vNn.sfr.""
Did you marry a widow, sir7
""No. sir."" , : '
Another lapse of silence. . ' . ,
""Did I understand you to say, sir, mil
. . I I ...ITa mint CIV i hiltlren llVlllU 111
VOU llttll ""lie - j
v-.... v .!. .....I lrl iiHier seen One 01
ll..m9
Another and a longer pause of silence;
then the nfcrrogater again lumMrew...,
1 !.u .irSvf-sir. that you. never saw
-'nv van aw
SVh."" was the response, ""ontointm
..... !,.... r.o. i iuit i
aa uvu oiiai s H-ih . ..
""Oh! all"" and a general laugh follow­
er a,,,i nfL-V .i, at Hia New Yurker was es-
iiecially distingutsjied as the man who had","null","http://chroniclingamerica.loc.gov/lccn/sn87075163/1856-09-18/ed-1/seq-4/print/image_600x600_from_1302%2C781_to_2241%2C2673/","null","ca","1","4","null","M'Arthur Democrat"
"167712",6029187320268456960,321785,177,7944,16466,"News","null","1856-09-20","5FGL-1856-SEP20-003-003","5FGL-1856-SEP20","null","2005204305","Court.""
REGULARLY SOLD.-During the month of January, 1851, two
gentlemen from New York, one of whom had been in California nearly a year,
and the other just arrived, were accidentally overheard in the fellowing con­
versation at the Sutter House, Sacramento. The new comer was lamenting
his condition, and his folly in leaving an abundance at home, and especially
two beautiful daughters who were just budding into womanhood-when he
asked the other if he had a family.
"" Yes, sir, I have. I have a wife and six children in New York-and I
never saw one of them I""
After this reply the couple sat a few moments in silence, and then the inter­
rogator again commenced.
"" Were you ever blind, sir?""
""No, sir.""
""Did you ever marry a widow, sir?""
""No, sir.""
Another lapse of silence.
"" Did I understand you to say, sir, that you had a wife and six children liv­
ing in New York, and had never seen one of them?""
"" Yes, sir, I so stated it.""
Another and a longer pause ensued. Then the interrogator again inquired:
"" How can it be, sir, that you never saw one of them ?""
"" Why,"" was the response, ""one of them was born after I left.""
"" Oh, ah,"" and a general laugh followed.
After that the first New Yorker was especially distinguished as "" the man
who had six children and never saw one of them.""
,VALOR AND","Budget of Good Things","null","null","gale-us","null","null","null","Frank Leslie's Illustrated Newspaper (New York, NY)"
"167713",8759796171610217472,321785,177,15001,24137,"null","null","1856-09-27","sn83026391/1856-09-27/ed-1/seq-1","sn83026391/1856-09-27/ed-1","null","sn83026391","x00FD;1 i

REGULARLY SoLD.-During the month
of January, 1850, two gentlemen from
New York, one of whom had been in
California nearly a year, and the other
just arrived, were accidentally overheard
in the following conversation at the Sutter
House, Sacramento. The new comer
was lamenting his condition, and his folly
in leaving an abundance at home, and es­
pecially two beautiful daughters who were
just budding into womanhood-when he
asked the other if he had a family ?
""Yes, sir, I have. I have a wife and
six children in New York-and I never
saw one of them !""
After this reply the couple sat a few
moments in silence, and then the interro­
gator again commenced:
"" Were you ever blind, sir t""
"" No, sir.""
"" Did you marry a widow, sir ?""
"" No, sir.""
Another lapse of silence.
""Did I understand you to say, sir, that
you had a wife and six children living in
New York, and had never seen one o
them ?""
"" Yes, sir-I so stated it.""
Another and a longer pause of silence.
Then the interrogator again inquired :
"" How can it be, sir, that you never saw
one of them ?""
""Why,"" was the response, ""one of
thean was born after I left.""
""Oh i ah !"" end a general laugh fol.
lowed.
After that the first New Yorker was
especially distinguished as ""the man who
has six children and never saw one of
,- J •

WRAT AnveaTsnoe Ca.G Do.- r.
Bonner, the","null","http://chroniclingamerica.loc.gov/lccn/sn83026391/1856-09-27/ed-1/seq-1/print/image_600x600_from_412%2C1141_to_1630%2C6169/","null","ca","1","1","null","Houma Ceres"
"167714",8479482407339083776,321785,177,2432,3545,"Article","null","1856-10-01","aps/127508205","aps/34847/1856-10-01","eng","aps/34847","occurred in Sast P'ranciseo, where a  Yaukee,  bored is new coiner with every conceivable question relative to his object in visiting the gold country, kis holes, his , and his prospects, at  asked bim if lie had a family.
                 "" Yes, sir; I have a wife anm sil children in ,,te-York;  I never saw one of theni.""
                 After this reply, the couple sat a few mo- ments in silence ; then the  again :
                 Was you ever blind, air?"" No, air.""
                 I)hil   a , sir ?"" 'No, air.""
                 Aiother lapse of silence.
                 Diii I understand you to say, sir, that you had a wife and Six children living iii Newv-York, and haud never seen  oif them !""
                 Yes, sir ; I so stated it.""
                 Anotiher and a lon ger lause of silence. Then the interrogator agains :
                 ""Hlosv call it be, sir, that you never saw one of them?""
                 W1 Why,"" was the , ""' one *.f them was born after I left.""
                 Sotnethlig in the  vein","SMALL CHANGE.","http://search.proquest.com/docview/127508205/fulltext/","null","aps","null","null","null","The National Magazine; Devoted to Literature, Art, and Religion (1852-1858)"
