bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	lc0	lc1	lc2	aLanguage	authorBirth_year
245588	OL2		0	encyclopdieoud11alem	0	175	0	Briasson	fre	Encyclop	NULL	NULL	NULL	2613020	NULL	NULL	NULL	NULL	NULL	NULL	OL2	NULL
349339	eng	TS155 .G185 1996	96038890	operationsmanage00gall	35599294	enk	1996	London	International Thomson Business Press	Operations management	1942	1996	R. L. Galloway	NULL	UK	NULL	54	T	TS	155	eng	1942
732919	eng	LC40 .B45 1997	96038912	ultimateguidetoh00bell	35620292	txu	1997	"Nashville, TN"	Tommy Nelson	The ultimate guide to homeschooling	1955	1997	Debra Bell	NULL	USA	TX	42	L	LC	40	eng	1955
991721	eng	E184.M5 T44 1997	96038914	teenagerefugeesf00hadd	35666451	nyu	1997	New York	Rosen Pub. Group	Teenage refugees from Mexico speak out	NULL	NULL	Gerry Hadden	NULL	USA	NY	NULL	NULL	E	184	eng	NULL
713679	eng	HQ1059.4 .G74 1997	96038920	50yeardashfeelin00gree	0	nyu	1997	New York	Doubleday	The 50-year dash	NULL	1997	"Greene, Bob"	NULL	USA	NY	NULL	H	HQ	1059	eng	NULL
980350	eng	PR6062.O36 A6 1997	96038927	practiceofwritin00lodg	0	nyu	1997	"New York, N.Y., U.S.A"	Allen Lane	The practice of writing	1935	1996	David Lodge	NULL	USA	NY	62	P	PR	6062	eng	1935
919049	eng	DG416 .B66 1998	96038970	independentwalke00boot	0	nyu	1998	New York	Interlink Books	The independent walker's guide to Italy	1951	1998	Frank W. Booth	NULL	USA	NY	47	D	DG	416	eng	1951
503891	eng	HD69.T54 M53 1997	96038984	microsoftoutlook00catarich	0	wau	1997	"Redmond, Wash"	Microsoft Press	Microsoft Outlook 97 step by step	NULL	NULL	"Catapult, Inc"	NULL	USA	WA	NULL	H	HD	69	eng	NULL
217245	eng	QA76.9.D3 M5566 1997	96038986	microsoftaccess900cata	0	wau	1997	"Redmond, Wash"	Microsoft Press	Microsoft Access 97 step by step	NULL	NULL	"Catapult, Inc"	NULL	USA	WA	NULL	Q	QA	76	eng	NULL
706043	eng	HF5548.4.M523 M51575 19	96038988	microsoftexcel9700cata	0	wau	1996	"Redmond, Wash"	Microsoft Press	Microsoft Excel 97 step by step	NULL	NULL	Inc Catapult	NULL	USA	WA	NULL	H	HF	5548	eng	NULL
558240	eng	PR6057.R338 D42 1996	96039008	deadlypartnerska00gree	35646457	nyu	1996	New York	Walker and Co.	Deadly partners	NULL	1996	Christine Green	NULL	USA	NY	NULL	P	PR	6057	eng	NULL
7801	eng	PS3563.C75 C48 1997	96039010	chaliceblade00mcre	35651192	nyu	1997	New York	Bantam Books	The chalice and the blade	NULL	1997	Glenna McReynolds	NULL	USA	NY	NULL	P	PS	3563	eng	NULL
542908	eng	UG615 .G745 1997	96039036	militarymotorcyl00gree	35686098	mnu	1997	"Mankato, MN"	Capstone Press	Military motorcyles	1952	NULL	"Green, Michael"	NULL	USA	MN	45	U	UG	615	eng	1952
779371	eng	HV875.5 .A435 1997	96039053	internationalado00alpe	0	nyu	1997	New York	Henry Holt and Co.	The international adoption handbook	1951	1997	Myra Alperson	NULL	USA	NY	46	H	HV	875	eng	1951
54406	eng	GV943.9.T7 C588 1997	96039054	converseallstars00conv	35651204	nyu	1997	New York	Wiley	Converse all star soccer	NULL	NULL	Converse (Firm)	NULL	USA	NY	NULL	G	GV	943	eng	NULL
27169	eng	GV873 .P4 1997	96039060	baseballsfunnies00pell	0	nyu	1997	New York	Sterling Pub. Co.	Baseball's funniest people	NULL	NULL	Michael Pellowski	NULL	USA	NY	NULL	G	GV	873	eng	NULL
407494	eng	RC280.P7 P7428 1997	96039071	prostatecancermu00kant	0	mau	1997	"Malden, Mass"	Blackwell Science	Prostate cancer	NULL	NULL	Philip Kantoff	NULL	USA	MA	NULL	R	RC	280	eng	NULL
438506	eng	RM222.2 .S389 1997	96039111	masteringzonenex00searrich	0	nyu	1997	"New York, NY"	Regan Books	Mastering the zone	1947	1997	Barry Sears	NULL	USA	NY	50	R	RM	222	eng	1947
991722	eng	QA76.9.D3 H8765 1997	96039123	db2certification00hutc	0	nju	1997	"Upper Saddle River, N.J"	Prentice Hall PTR	DB2 certification guide for common servers	NULL	1997	Grant Hutchison	NULL	USA	NJ	NULL	NULL	QA	76	eng	NULL
752002	eng	TT507 .D28 1997	96039124	lookinggreatfash00dano	35688092	nyu	1997	New York	G.P. Putnams Sons	Looking great...	NULL	1997	Linda Dano	NULL	USA	NY	NULL	T	TT	507	eng	NULL
62110	eng	PS3553.R48 A77 1996	96039154	airframecric00cric	0	nyu	1996	New York	Alfred Knopf	Airframe	1942	NULL	Michael Crichton	NULL	USA	NY	54	P	PS	3553	eng	1942
