PRESIDENT,POLITICAL PARTY,TERM
George Washington,No Party Designation,1789-1797
John Adams,Federalist,1797-1801
Thomas Jefferson,Democratic-Republican,1801-1809
James Madison,Democratic-Republican,1809-1817
James Monroe,Democratic-Republican,1817-1825
John Quincy Adams,Democratic-Republican,1825-1829
Andrew Jackson,Democratic,1829-1837
Martin Van Buren,Democratic,1837-1841
William Henry Harrison,Whig,1841
John Tyler,Whig,1841-1845
James Knox Polk,Democratic,1845-1849
Zachary Taylor,Whig,1849-1850
Millard Fillmore,Whig,1850-1853
Franklin Pierce,Democratic,1853-1857
James Buchanan,Democratic,1857-1861
Abraham Lincoln,Union,1861-1865
Andrew Johnson,Union,1865-1869
Ulysses Simpson Grant,Republican,1869-1877
Rutherford Birchard Hayes,Republican,1877-1881
James Abram Garfield,Republican,1881
Chester Alan Arthur,Republican,1881-1885
Stephen Grover Cleveland,Democratic,1885-1889
Benjamin Harrison,Republican,1889-1893
Stephen Grover Cleveland,Democratic,1893-1897
William McKinley,Republican,1897-1901
Theodore Roosevelt,Republican,1901-1909
William Howard Taft,Republican,1909-1913
Woodrow Wilson,Democratic,1913-1921
Warren Gamaliel Harding,Republican,1921-1923
Calvin Coolidge,Republican,1923-1929
Herbert Clark Hoover,Republican,1929-1933
Franklin Delano Roosevelt,Democratic,1933-1945
Harry S. Truman,Democratic,1945-1953
Dwight David Eisenhower,Republican,1953-1961
John Fitzgerald Kennedy,Democratic,1961-1963
Lyndon Baines Johnson,Democratic,1963-1969
Richard Milhous Nixon,Republican,1969-1974
Gerald Rudolph Ford,Republican,1974-1977
"James Earl Carter, Jr.",Democratic,1977-1981
Ronald Wilson Reagan,Republican,1981-1989
George Herbert Walker Bush,Republican,1989-1993
William Jefferson Clinton,Democratic,1993-2001
George Walker Bush,Republican,2001-2009
Barack Obama,Democratic,2009-2017
Donald Trump,Republican,2017-
