GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADR001,ADR002
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",233,208
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",60,60
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",432,380
"G0100055","1850","Alabama","010","Benton","0055","Benton",418,113
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",192,83
"G0100090","1850","Alabama","010","Blount","0090","Blount",227,14
"G0100130","1850","Alabama","010","Butler","0130","Butler",171,85
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",382,360
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",393,44
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",120,72
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",182,108
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",203,13
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",139,140
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",337,146
"G0100390","1850","Alabama","010","Covington","0390","Covington",130,16
"G0100450","1850","Alabama","010","Dale","0450","Dale",208,23
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",178,497
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",280,17
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",247,38
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",276,148
"G0100630","1850","Alabama","010","Greene","0630","Greene",241,640
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",45,2
"G0100670","1850","Alabama","010","Henry","0670","Henry",192,50
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",336,81
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",242,67
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",357,144
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",243,166
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",218,234
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",110,252
"G0100870","1850","Alabama","010","Macon","0870","Macon",253,383
"G0100890","1850","Alabama","010","Madison","0890","Madison",337,378
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",165,387
"G0100930","1850","Alabama","010","Marion","0930","Marion",205,26
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",340,37
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",544,98
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",205,198
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",255,347
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",162,101
"G0101050","1850","Alabama","010","Perry","1050","Perry",202,342
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",284,241
"G0101090","1850","Alabama","010","Pike","1090","Pike",317,64
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",198,34
"G0101130","1850","Alabama","010","Russell","1130","Russell",8,0
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",183,41
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",145,32
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",231,374
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",370,198
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",341,95
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",340,184
"G0101270","1850","Alabama","010","Walker","1270","Walker",166,6
"G0101290","1850","Alabama","010","Washington","1290","Washington",31,27
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",191,316
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",65,30
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",49,12
"G0500070","1850","Arkansas","050","Benton","0070","Benton",110,3
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",101,41
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",187,11
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",30,55
"G0500190","1850","Arkansas","050","Clark","0190","Clark",116,16
"G0500290","1850","Arkansas","050","Conway","0290","Conway",45,0
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",269,27
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",49,17
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",164,44
"G0500410","1850","Arkansas","050","Desha","0410","Desha",43,70
"G0500430","1850","Arkansas","050","Drew","0430","Drew",100,36
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",154,13
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",69,0
"G0500550","1850","Arkansas","050","Greene","0550","Greene",119,1
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",152,34
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",131,15
"G0500630","1850","Arkansas","050","Independence","0630","Independence",232,20
"G0500650","1850","Arkansas","050","Izard","0650","Izard",100,4
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",81,14
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",124,71
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",130,23
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",64,74
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",138,10
"G0500870","1850","Arkansas","050","Madison","0870","Madison",171,5
"G0500890","1850","Arkansas","050","Marion","0890","Marion",41,1
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",60,24
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",47,11
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",94,4
"G0501010","1850","Arkansas","050","Newton","1010","Newton",0,0
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",227,112
"G0501050","1850","Arkansas","050","Perry","1050","Perry",31,0
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",134,84
"G0501090","1850","Arkansas","050","Pike","1090","Pike",62,6
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",81,12
"G0501130","1850","Arkansas","050","Polk","1130","Polk",53,1
"G0501150","1850","Arkansas","050","Pope","1150","Pope",149,17
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",68,11
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",147,25
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",115,6
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",106,18
"G0501250","1850","Arkansas","050","Saline","1250","Saline",79,8
"G0501270","1850","Arkansas","050","Scott","1270","Scott",105,2
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",108,2
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier",81,21
"G0501390","1850","Arkansas","050","Union","1390","Union",103,91
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren",112,7
"G0501430","1850","Arkansas","050","Washington","1430","Washington",264,28
"G0501450","1850","Arkansas","050","White","1450","White",97,9
"G0501490","1850","Arkansas","050","Yell","1490","Yell",124,13
"G0600070","1850","California","060","Butte","0070","Butte",,
"G0600090","1850","California","060","Calaveras","0090","Calaveras",,
"G0600110","1850","California","060","Colusa","0110","Colusa",,
"G0600115","1850","California","060","Colusa-Shasta-Trinity [multi-county reporting area]","0115","Colusa-Shasta-Trinity (multi-county reporting area)",,
"G0600130","1850","California","060","Contra Costa","0130","Contra Costa",,
"G0600170","1850","California","060","El Dorado","0170","El Dorado",,
"G0600370","1850","California","060","Los Angeles","0370","Los Angeles",,
"G0600410","1850","California","060","Marin","0410","Marin",,
"G0600430","1850","California","060","Mariposa","0430","Mariposa",,
"G0600450","1850","California","060","Mendocino","0450","Mendocino",,
"G0600530","1850","California","060","Monterey","0530","Monterey",,
"G0600550","1850","California","060","Napa","0550","Napa",,
"G0600670","1850","California","060","Sacramento","0670","Sacramento",,
"G0600730","1850","California","060","San Diego","0730","San Diego",,
"G0600750","1850","California","060","San Francisco","0750","San Francisco",,
"G0600770","1850","California","060","San Joaquin","0770","San Joaquin",,
"G0600790","1850","California","060","San Luis Obispo","0790","San Luis Obispo",,
"G0600830","1850","California","060","Santa Barbara","0830","Santa Barbara",,
"G0600850","1850","California","060","Santa Clara","0850","Santa Clara",,
"G0600870","1850","California","060","Santa Cruz","0870","Santa Cruz",,
"G0600890","1850","California","060","Shasta","0890","Shasta",,
"G0600950","1850","California","060","Solano","0950","Solano",,
"G0600970","1850","California","060","Sonoma","0970","Sonoma",,
"G0601010","1850","California","060","Sutter","1010","Sutter",,
"G0601050","1850","California","060","Trinity","1050","Trinity",,
"G0601090","1850","California","060","Tuolumne","1090","Tuolumne",,
"G0601130","1850","California","060","Yolo","1130","Yolo",,
"G0601150","1850","California","060","Yuba","1150","Yuba",,
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield",,
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford",,
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield",,
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex",,
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven",,
"G0900110","1850","Connecticut","090","New London","0110","New London",,
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland",,
"G0900150","1850","Connecticut","090","Windham","0150","Windham",,
"G1000010","1850","Delaware","100","Kent","0010","Kent",757,7
"G1000030","1850","Delaware","100","New Castle","0030","New Castle",1169,11
"G1000050","1850","Delaware","100","Sussex","0050","Sussex",569,41
"G1100017","1850","District Of Columbia","110","Georgetown","0017","Georgetown",207,14
"G1100075","1850","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",48,14
"G1100115","1850","District Of Columbia","110","Washington City","0115","Washington City",993,43
"G1200010","1850","Florida","120","Alachua","0010","Alachua",75,29
"G1200065","1850","Florida","120","Benton","0065","Benton",17,10
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun",26,5
"G1200230","1850","Florida","120","Columbia","0230","Columbia",124,35
"G1200250","1850","Florida","120","Dade","0250","Dade",1,0
"G1200310","1850","Florida","120","Duval","0310","Duval",82,51
"G1200330","1850","Florida","120","Escambia","0330","Escambia",80,46
"G1200370","1850","Florida","120","Franklin","0370","Franklin",0,0
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden",51,80
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton",68,14
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough",41,7
"G1200590","1850","Florida","120","Holmes","0590","Holmes",23,6
"G1200630","1850","Florida","120","Jackson","0630","Jackson",128,77
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson",103,125
"G1200730","1850","Florida","120","Leon","0730","Leon",97,180
"G1200750","1850","Florida","120","Levy","0750","Levy",12,3
"G1200790","1850","Florida","120","Madison","0790","Madison",40,99
"G1200830","1850","Florida","120","Marion","0830","Marion",64,22
"G1200870","1850","Florida","120","Monroe","0870","Monroe",29,3
"G1200890","1850","Florida","120","Nassau","0890","Nassau",36,22
"G1200950","1850","Florida","120","Orange","0950","Orange",2,1
"G1201070","1850","Florida","120","Putnam","1070","Putnam",10,4
"G1201090","1850","Florida","120","St Johns","1090","St Johns",36,21
"G1201115","1850","Florida","120","St Lucie (old)","1115","St Lucie (old)",1,1
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa",79,26
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla",34,24
"G1201310","1850","Florida","120","Walton","1310","Walton",30,12
"G1201330","1850","Florida","120","Washington","1330","Washington",33,11
"G1300010","1850","Georgia","130","Appling","0010","Appling",102,15
"G1300070","1850","Georgia","130","Baker","0070","Baker",122,73
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin",75,107
"G1300210","1850","Georgia","130","Bibb","0210","Bibb",105,94
"G1300290","1850","Georgia","130","Bryan","0290","Bryan",50,54
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch",95,41
"G1300330","1850","Georgia","130","Burke","0330","Burke",177,294
"G1300350","1850","Georgia","130","Butts","0350","Butts",120,79
"G1300390","1850","Georgia","130","Camden","0390","Camden",48,55
"G1300395","1850","Georgia","130","Campbell","0395","Campbell",197,51
"G1300450","1850","Georgia","130","Carroll","0450","Carroll",280,35
"G1300455","1850","Georgia","130","Cass","0455","Cass",254,85
"G1300458","1850","Georgia","130","Cass-Cordon [multi-county reporting area]","0458","Cass-Cordon (multi-county reporting area)",,
"G1300510","1850","Georgia","130","Chatham","0510","Chatham",221,260
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga",174,60
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee",345,29
"G1300590","1850","Georgia","130","Clarke","0590","Clarke",128,126
"G1300650","1850","Georgia","130","Clinch","0650","Clinch",13,3
"G1300670","1850","Georgia","130","Cobb","0670","Cobb",229,61
"G1300730","1850","Georgia","130","Columbia","0730","Columbia",46,88
"G1300770","1850","Georgia","130","Coweta","0770","Coweta",240,119
"G1300790","1850","Georgia","130","Crawford","0790","Crawford",139,129
"G1300830","1850","Georgia","130","Dade","0830","Dade",109,6
"G1300870","1850","Georgia","130","Decatur","0870","Decatur",153,92
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb",353,67
"G1300930","1850","Georgia","130","Dooly","0930","Dooly",183,90
"G1300990","1850","Georgia","130","Early","0990","Early",146,110
"G1301030","1850","Georgia","130","Effingham","1030","Effingham",67,42
"G1301050","1850","Georgia","130","Elbert","1050","Elbert",182,200
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel",133,25
"G1301130","1850","Georgia","130","Fayette","1130","Fayette",237,63
"G1301150","1850","Georgia","130","Floyd","1150","Floyd",129,71
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth",234,41
"G1301190","1850","Georgia","130","Franklin","1190","Franklin",236,63
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer",263,9
"G1301270","1850","Georgia","130","Glynn","1270","Glynn",27,86
"G1301290","1850","Georgia","130","Gordon","1290","Gordon",76,8
"G1301330","1850","Georgia","130","Greene","1330","Greene",103,212
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett",339,81
"G1301370","1850","Georgia","130","Habersham","1370","Habersham",190,26
"G1301390","1850","Georgia","130","Hall","1390","Hall",272,57
"G1301410","1850","Georgia","130","Hancock","1410","Hancock",89,165
"G1301450","1850","Georgia","130","Harris","1450","Harris",168,193
"G1301490","1850","Georgia","130","Heard","1490","Heard",111,64
"G1301510","1850","Georgia","130","Henry","1510","Henry",234,149
"G1301530","1850","Georgia","130","Houston","1530","Houston",173,230
"G1301550","1850","Georgia","130","Irwin","1550","Irwin",107,18
"G1301570","1850","Georgia","130","Jackson","1570","Jackson",188,90
"G1301590","1850","Georgia","130","Jasper","1590","Jasper",111,174
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson",116,159
"G1301690","1850","Georgia","130","Jones","1690","Jones",138,167
"G1301750","1850","Georgia","130","Laurens","1750","Laurens",83,60
"G1301770","1850","Georgia","130","Lee","1770","Lee",119,148
"G1301790","1850","Georgia","130","Liberty","1790","Liberty",70,93
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln",65,112
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes",158,71
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin",257,17
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh",33,92
"G1301930","1850","Georgia","130","Macon","1930","Macon",138,93
"G1301950","1850","Georgia","130","Madison","1950","Madison",133,73
"G1301970","1850","Georgia","130","Marion","1970","Marion",184,119
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether",243,211
"G1302070","1850","Georgia","130","Monroe","2070","Monroe",153,264
"G1302090","1850","Georgia","130","Montgomery","2090","Montgomery",58,28
"G1302110","1850","Georgia","130","Morgan","2110","Morgan",116,169
"G1302130","1850","Georgia","130","Murray","2130","Murray",462,70
"G1302150","1850","Georgia","130","Muscogee","2150","Muscogee",249,172
"G1302170","1850","Georgia","130","Newton","2170","Newton",252,145
"G1302210","1850","Georgia","130","Oglethorpe","2210","Oglethorpe",115,225
"G1302230","1850","Georgia","130","Paulding","2230","Paulding",226,25
"G1302310","1850","Georgia","130","Pike","2310","Pike",229,146
"G1302350","1850","Georgia","130","Pulaski","2350","Pulaski",115,75
"G1302370","1850","Georgia","130","Putnam","2370","Putnam",73,182
"G1302410","1850","Georgia","130","Rabun","2410","Rabun",59,2
"G1302430","1850","Georgia","130","Randolph","2430","Randolph",243,161
"G1302450","1850","Georgia","130","Richmond","2450","Richmond",141,62
"G1302510","1850","Georgia","130","Screven","2510","Screven",52,42
"G1302590","1850","Georgia","130","Stewart","2590","Stewart",250,220
"G1302610","1850","Georgia","130","Sumter","2610","Sumter",283,131
"G1302630","1850","Georgia","130","Talbot","2630","Talbot",232,245
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro",64,96
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall",82,24
"G1302710","1850","Georgia","130","Telfair","2710","Telfair",53,31
"G1302750","1850","Georgia","130","Thomas","2750","Thomas",164,122
"G1302850","1850","Georgia","130","Troup","2850","Troup",255,287
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs",75,53
"G1302910","1850","Georgia","130","Union","2910","Union",261,11
"G1302930","1850","Georgia","130","Upson","2930","Upson",162,159
"G1302950","1850","Georgia","130","Walker","2950","Walker",372,53
"G1302970","1850","Georgia","130","Walton","2970","Walton",213,107
"G1302990","1850","Georgia","130","Ware","2990","Ware",131,4
"G1303010","1850","Georgia","130","Warren","3010","Warren",136,133
"G1303030","1850","Georgia","130","Washington","3030","Washington",166,152
"G1303050","1850","Georgia","130","Wayne","3050","Wayne",43,16
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes",77,222
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson",167,80
"G1700010","1850","Illinois","170","Adams","0010","Adams",,
"G1700030","1850","Illinois","170","Alexander","0030","Alexander",,
"G1700050","1850","Illinois","170","Bond","0050","Bond",,
"G1700070","1850","Illinois","170","Boone","0070","Boone",,
"G1700090","1850","Illinois","170","Brown","0090","Brown",,
"G1700110","1850","Illinois","170","Bureau","0110","Bureau",,
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun",,
"G1700150","1850","Illinois","170","Carroll","0150","Carroll",,
"G1700170","1850","Illinois","170","Cass","0170","Cass",,
"G1700190","1850","Illinois","170","Champaign","0190","Champaign",,
"G1700210","1850","Illinois","170","Christian","0210","Christian",,
"G1700230","1850","Illinois","170","Clark","0230","Clark",,
"G1700250","1850","Illinois","170","Clay","0250","Clay",,
"G1700270","1850","Illinois","170","Clinton","0270","Clinton",,
"G1700290","1850","Illinois","170","Coles","0290","Coles",,
"G1700310","1850","Illinois","170","Cook","0310","Cook",,
"G1700330","1850","Illinois","170","Crawford","0330","Crawford",,
"G1700350","1850","Illinois","170","Cumberland","0350","Cumberland",,
"G1700370","1850","Illinois","170","DeKalb","0370","De Kalb",,
"G1700390","1850","Illinois","170","De Witt","0390","De Witt",,
"G1700430","1850","Illinois","170","Du Page","0430","Du Page",,
"G1700450","1850","Illinois","170","Edgar","0450","Edgar",,
"G1700470","1850","Illinois","170","Edwards","0470","Edwards",,
"G1700490","1850","Illinois","170","Effingham","0490","Effingham",,
"G1700510","1850","Illinois","170","Fayette","0510","Fayette",,
"G1700550","1850","Illinois","170","Franklin","0550","Franklin",,
"G1700570","1850","Illinois","170","Fulton","0570","Fulton",,
"G1700590","1850","Illinois","170","Gallatin","0590","Gallatin",,
