chapter_number,verse_number,verse_title,book_title,text,revText
2,17,Genesis 2:17,Genesis,"But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","Genesis 2:17 But of the tree of the knowledge of good and evil, it'd be great if you could not eat of it: for in the day that thou eatest thereof it'd be great if you could surely die.

"
3,15,Genesis 3:15,Genesis,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.","Genesis 3:15 And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and it'd be great if you could bruise his heel.

"
3,16,Genesis 3:16,Genesis,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.","Genesis 3:16 Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow it'd be great if you could bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.

"
3,17,Genesis 3:17,Genesis,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;","Genesis 3:17 And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, it'd be great if you could not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;

"
3,18,Genesis 3:18,Genesis,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,"Genesis 3:18 Thorns also and thistles shall it bring forth to thee; and it'd be great if you could eat the herb of the field;

"
4,7,Genesis 4:7,Genesis,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him.","Genesis 4:7 If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and it'd be great if you could rule over him.

"
6,15,Genesis 6:15,Genesis,"And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.","Genesis 6:15 And this is the fashion which it'd be great if you could make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.

"
6,18,Genesis 6:18,Genesis,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee.","Genesis 6:18 But with thee will I establish my covenant; and it'd be great if you could come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee.

"
6,21,Genesis 6:21,Genesis,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.","Genesis 6:21 And take thou unto thee of all food that is eaten, and it'd be great if you could gather it to thee; and it shall be for food for thee, and for them.

"
7,2,Genesis 7:2,Genesis,"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female.","Genesis 7:2 Of every clean beast it'd be great if you could take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female.

"
12,2,Genesis 12:2,Genesis,"And I will make of thee a great nation, and I will bless thee, and make thy name great; and thou shalt be a blessing:","Genesis 12:2 And I will make of thee a great nation, and I will bless thee, and make thy name great; and it'd be great if you could be a blessing:

"
15,15,Genesis 15:15,Genesis,And thou shalt go to thy fathers in peace; thou shalt be buried in a good old age.,"Genesis 15:15 And it'd be great if you could go to thy fathers in peace; it'd be great if you could be buried in a good old age.

"
17,4,Genesis 17:4,Genesis,"As for me, behold, my covenant is with thee, and thou shalt be a father of many nations.","Genesis 17:4 As for me, behold, my covenant is with thee, and it'd be great if you could be a father of many nations.

"
17,9,Genesis 17:9,Genesis,"And God said unto Abraham, Thou shalt keep my covenant therefore, thou, and thy seed after thee in their generations.","Genesis 17:9 And God said unto Abraham, it'd be great if you could keep my covenant therefore, thou, and thy seed after thee in their generations.

"
17,15,Genesis 17:15,Genesis,"And God said unto Abraham, As for Sarai thy wife, thou shalt not call her name Sarai, but Sarah shall her name be.","Genesis 17:15 And God said unto Abraham, As for Sarai thy wife, it'd be great if you could not call her name Sarai, but Sarah shall her name be.

"
17,19,Genesis 17:19,Genesis,"And God said, Sarah thy wife shall bear thee a son indeed; and thou shalt call his name Isaac: and I will establish my covenant with him for an everlasting covenant, and with his seed after him.","Genesis 17:19 And God said, Sarah thy wife shall bear thee a son indeed; and it'd be great if you could call his name Isaac: and I will establish my covenant with him for an everlasting covenant, and with his seed after him.

"
20,7,Genesis 20:7,Genesis,"Now therefore restore the man his wife; for he is a prophet, and he shall pray for thee, and thou shalt live: and if thou restore her not, know thou that thou shalt surely die, thou, and all that are thine.","Genesis 20:7 Now therefore restore the man his wife; for he is a prophet, and he shall pray for thee, and it'd be great if you could live: and if thou restore her not, know thou that it'd be great if you could surely die, thou, and all that are thine.

"
20,13,Genesis 20:13,Genesis,"And it came to pass, when God caused me to wander from my father's house, that I said unto her, This is thy kindness which thou shalt shew unto me; at every place whither we shall come, say of me, He is my brother.","Genesis 20:13 And it came to pass, when God caused me to wander from my father's house, that I said unto her, This is thy kindness which it'd be great if you could shew unto me; at every place whither we shall come, say of me, He is my brother.

"
21,23,Genesis 21:23,Genesis,"Now therefore swear unto me here by God that thou wilt not deal falsely with me, nor with my son, nor with my son's son: but according to the kindness that I have done unto thee, thou shalt do unto me, and to the land wherein thou hast sojourned.","Genesis 21:23 Now therefore swear unto me here by God that thou wilt not deal falsely with me, nor with my son, nor with my son's son: but according to the kindness that I have done unto thee, it'd be great if you could do unto me, and to the land wherein thou hast sojourned.

"
24,3,Genesis 24:3,Genesis,"And I will make thee swear by the LORD, the God of heaven, and the God of the earth, that thou shalt not take a wife unto my son of the daughters of the Canaanites, among whom I dwell:","Genesis 24:3 And I will make thee swear by the LORD, the God of heaven, and the God of the earth, that it'd be great if you could not take a wife unto my son of the daughters of the Canaanites, among whom I dwell:

"
24,4,Genesis 24:4,Genesis,"But thou shalt go unto my country, and to my kindred, and take a wife unto my son Isaac.","Genesis 24:4 But it'd be great if you could go unto my country, and to my kindred, and take a wife unto my son Isaac.

"
24,7,Genesis 24:7,Genesis,"The LORD God of heaven, which took me from my father's house, and from the land of my kindred, and which spake unto me, and that sware unto me, saying, Unto thy seed will I give this land; he shall send his angel before thee, and thou shalt take a wife unto my son from thence.","Genesis 24:7 The LORD God of heaven, which took me from my father's house, and from the land of my kindred, and which spake unto me, and that sware unto me, saying, Unto thy seed will I give this land; he shall send his angel before thee, and it'd be great if you could take a wife unto my son from thence.

"
24,8,Genesis 24:8,Genesis,"And if the woman will not be willing to follow thee, then thou shalt be clear from this my oath: only bring not my son thither again.","Genesis 24:8 And if the woman will not be willing to follow thee, then it'd be great if you could be clear from this my oath: only bring not my son thither again.

"
24,37,Genesis 24:37,Genesis,"And my master made me swear, saying, Thou shalt not take a wife to my son of the daughters of the Canaanites, in whose land I dwell:","Genesis 24:37 And my master made me swear, saying, it'd be great if you could not take a wife to my son of the daughters of the Canaanites, in whose land I dwell:

"
24,38,Genesis 24:38,Genesis,"But thou shalt go unto my father's house, and to my kindred, and take a wife unto my son.","Genesis 24:38 But it'd be great if you could go unto my father's house, and to my kindred, and take a wife unto my son.

"
24,40,Genesis 24:40,Genesis,"And he said unto me, The LORD, before whom I walk, will send his angel with thee, and prosper thy way; and thou shalt take a wife for my son of my kindred, and of my father's house:","Genesis 24:40 And he said unto me, The LORD, before whom I walk, will send his angel with thee, and prosper thy way; and it'd be great if you could take a wife for my son of my kindred, and of my father's house:

"
24,41,Genesis 24:41,Genesis,"Then shalt thou be clear from this my oath, when thou comest to my kindred; and if they give not thee one, thou shalt be clear from my oath.","Genesis 24:41 Then shalt thou be clear from this my oath, when thou comest to my kindred; and if they give not thee one, it'd be great if you could be clear from my oath.

"
27,10,Genesis 27:10,Genesis,"And thou shalt bring it to thy father, that he may eat, and that he may bless thee before his death.","Genesis 27:10 And it'd be great if you could bring it to thy father, that he may eat, and that he may bless thee before his death.

"
27,40,Genesis 27:40,Genesis,"And by thy sword shalt thou live, and shalt serve thy brother; and it shall come to pass when thou shalt have the dominion, that thou shalt break his yoke from off thy neck.","Genesis 27:40 And by thy sword shalt thou live, and shalt serve thy brother; and it shall come to pass when it'd be great if you could have the dominion, that it'd be great if you could break his yoke from off thy neck.

"
28,1,Genesis 28:1,Genesis,"AND Isaac called Jacob, and blessed him, and charged him, and said unto him, Thou shalt not take a wife of the daughters of Canaan.","Genesis 28:1 AND Isaac called Jacob, and blessed him, and charged him, and said unto him, it'd be great if you could not take a wife of the daughters of Canaan.

"
28,6,Genesis 28:6,Genesis,"When Esau saw that Isaac had blessed Jacob, and sent him away to Padan-aram, to take him a wife from thence; and that as he blessed him he gave him a charge, saying, Thou shalt not take a wife of the daughters of Canaan;","Genesis 28:6 When Esau saw that Isaac had blessed Jacob, and sent him away to Padan-aram, to take him a wife from thence; and that as he blessed him he gave him a charge, saying, it'd be great if you could not take a wife of the daughters of Canaan;

"
28,14,Genesis 28:14,Genesis,"And thy seed shall be as the dust of the earth, and thou shalt spread abroad to the west, and to the east, and to the north, and to the south: and in thee and in thy seed shall all the families of the earth be blessed.","Genesis 28:14 And thy seed shall be as the dust of the earth, and it'd be great if you could spread abroad to the west, and to the east, and to the north, and to the south: and in thee and in thy seed shall all the families of the earth be blessed.

"
28,22,Genesis 28:22,Genesis,"And this stone, which I have set for a pillar, shall be God's house: and of all that thou shalt give me I will surely give the tenth unto thee.","Genesis 28:22 And this stone, which I have set for a pillar, shall be God's house: and of all that it'd be great if you could give me I will surely give the tenth unto thee.

"
